Time 0
_________________________________________________________________
|-------x-------|-------y-------|-------z-------|---Solution----|
|       -42.2426|       -52.9966|              0|       -314.248|
|       -33.6394|       -52.9966|              0|       -329.453|
|       -26.7568|       -52.9966|              0|        -340.46|
|       -21.2507|       -52.9966|              0|       -348.126|
|       -16.8459|       -52.9966|              0|       -353.304|
|        -13.322|       -52.9966|              0|       -356.723|
|       -10.5029|       -52.9966|              0|       -358.943|
|       -8.24761|       -52.9966|              0|       -360.365|
|       -6.44338|       -52.9966|              0|       -361.266|
|             -5|       -52.9966|              0|       -361.832|
|          -4.25|       -52.9966|              0|       -362.071|
|           -3.5|       -52.9966|              0|       -362.271|
|          -2.75|       -52.9966|              0|       -362.433|
|             -2|       -52.9966|              0|       -362.556|
|           -1.5|       -52.9966|              0|       -362.617|
|             -1|       -52.9966|              0|        -362.66|
|           -0.5|       -52.9966|              0|       -362.686|
|              0|       -52.9966|              0|       -362.695|
|            0.5|       -52.9966|              0|       -362.686|
|              1|       -52.9966|              0|       -362.661|
|            1.5|       -52.9966|              0|       -362.617|
|              2|       -52.9966|              0|       -362.557|
|           2.75|       -52.9966|              0|       -362.434|
|            3.5|       -52.9966|              0|       -362.273|
|           4.25|       -52.9966|              0|       -362.073|
|              5|       -52.9966|              0|       -361.834|
|        7.65148|       -52.9966|              0|        -360.69|
|        10.8333|       -52.9966|              0|       -358.713|
|        14.6514|       -52.9966|              0|       -355.523|
|        19.2332|       -52.9966|              0|       -350.625|
|        24.7313|       -52.9966|              0|       -343.431|
|         31.329|       -52.9966|              0|       -333.309|
